="Draft of replication of Regnerus 2012 models"

="",="(0.31)",="(-6.19)",="(5.01)",="(-1.54)",="(-2.71)",="(-3.96)",="(-4.09)",="(7.57)",="(5.05)",="(5.28)",="(1.55)",="(-1.50)",="(-2.13)",="(3.28)"

="o.- Adopted by strangers",="",="",="",="",="0",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(.)",="",="",="",="",="",="",="",="",=""

="Constant",="1.433***",="4.429***",="2.863***",="4.311***",="3.327***",="4.166***",="3.953***",="2.022***",="2.946***",="2.809***",="2.288***",="4.573***",="3.899***",="2.184***"
="",="(9.34)",="(31.52)",="(22.13)",="(25.94)",="(13.65)",="(23.22)",="(20.70)",="(18.43)",="(25.17)",="(16.74)",="(20.15)",="(9.16)",="(16.50)",="(10.42)"

="Observations",="2960",="2905",="2907",="2383",="1480",="2950",="2945",="2849",="2837",="2819",="2849",="2625",="2210",="2248"
="Adjusted R-squared",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
